,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Thu,9/10/2020,8:20PM ET,boxscore,L,,0-1,@,Kansas City Chiefs,20,34,21,360,242,118,1,28,369,203,166,0,8.16,-22.94,-1.59
2,Sun,9/20/2020,4:25PM ET,boxscore,L,,0-2,,Baltimore Ravens,16,33,18,304,253,51,2,23,407,177,230,0,-5.68,-15.93,3.2
3,Sun,9/27/2020,1:00PM ET,boxscore,L,,0-3,@,Pittsburgh Steelers,21,28,13,260,231,29,1,25,387,218,169,0,4.41,-15.39,2.08
4,Sun,10/4/2020,1:00PM ET,boxscore,L,,0-4,,Minnesota Vikings,23,31,20,386,290,96,1,24,410,248,162,0,8.81,-17.07,1.44
5,Sun,10/11/2020,1:00PM ET,boxscore,W,,1-4,,Jacksonville Jaguars,30,14,24,486,357,129,2,22,364,289,75,2,18.24,-2.21,1.26
6,Sun,10/18/2020,1:00PM ET,boxscore,L,OT,1-5,@,Tennessee Titans,36,42,25,412,320,92,0,31,607,344,263,2,22.14,-33.45,5.31
7,Sun,10/25/2020,1:00PM ET,boxscore,L,,1-6,,Green Bay Packers,20,35,20,365,286,79,1,22,379,283,96,0,1.7,-20.19,4.25
8,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
9,Sun,11/8/2020,1:00PM ET,boxscore,W,,2-6,@,Jacksonville Jaguars,27,25,19,374,267,107,1,22,403,288,115,1,9.52,-7.61,1.03
10,Sun,11/15/2020,1:00PM ET,boxscore,L,,2-7,@,Cleveland Browns,7,10,16,243,153,90,0,20,356,125,231,0,-0.68,-5.49,-2.92
11,Sun,11/22/2020,1:00PM ET,boxscore,W,,3-7,,New England Patriots,27,20,21,399,344,55,0,22,435,349,86,0,15.69,-13.67,0.27
12,Thu,11/26/2020,12:30PM ET,boxscore,W,,4-7,@,Detroit Lions,41,25,21,384,307,77,1,28,388,279,109,3,11.31,3.34,-0.56
13,Sun,12/6/2020,1:00PM ET,boxscore,L,,4-8,,Indianapolis Colts,20,26,20,398,308,90,2,25,371,262,109,0,5.59,-8.59,-1.28
14,Sun,12/13/2020,1:00PM ET,boxscore,L,,4-9,@,Chicago Bears,7,36,17,263,155,108,2,23,410,241,169,0,-8.67,-16.71,-2.22
15,Sun,12/20/2020,1:00PM ET,boxscore,L,,4-10,@,Indianapolis Colts,20,27,22,425,342,83,2,20,350,223,127,0,12.04,-16.23,-1.35
16,Sun,12/27/2020,1:00PM ET,boxscore,L,,4-11,,Cincinnati Bengals,31,37,23,488,322,166,1,27,540,371,169,0,20.31,-25.27,2.34
17,Sun,1/3/2020,4:25PM ET,boxscore,L,,4-12,,Tennessee Titans,38,41,26,457,361,96,1,28,492,204,288,1,17.33,-25.43,4.17
